TIME_PERIOD,OBS_VALUE,indic,geo
2013-09-01,-52.1,Construction confidence indicator,Cyprus
2013-12-01,-52.9,Construction confidence indicator,Cyprus
2014-03-01,-52.1,Construction confidence indicator,Cyprus
2014-06-01,-47.4,Construction confidence indicator,Cyprus
2014-09-01,-47.2,Construction confidence indicator,Cyprus
2014-12-01,-49.6,Construction confidence indicator,Cyprus
2015-03-01,-46.1,Construction confidence indicator,Cyprus
2015-06-01,-43.5,Construction confidence indicator,Cyprus
2015-09-01,-36.1,Construction confidence indicator,Cyprus
2015-12-01,-27.7,Construction confidence indicator,Cyprus
2016-03-01,-28.4,Construction confidence indicator,Cyprus
2016-06-01,-28.1,Construction confidence indicator,Cyprus
2016-09-01,-22.2,Construction confidence indicator,Cyprus
2016-12-01,-25.6,Construction confidence indicator,Cyprus
2017-03-01,-30.5,Construction confidence indicator,Cyprus
2017-06-01,-28.1,Construction confidence indicator,Cyprus
2017-09-01,-23.2,Construction confidence indicator,Cyprus
2017-12-01,-21.4,Construction confidence indicator,Cyprus
2018-03-01,-14.7,Construction confidence indicator,Cyprus
2018-06-01,-14.9,Construction confidence indicator,Cyprus
2018-09-01,-8.7,Construction confidence indicator,Cyprus
2018-12-01,-10.4,Construction confidence indicator,Cyprus
2019-03-01,-9.4,Construction confidence indicator,Cyprus
2019-06-01,-4.6,Construction confidence indicator,Cyprus
2019-09-01,0.0,Construction confidence indicator,Cyprus
2019-12-01,3.2,Construction confidence indicator,Cyprus
2020-03-01,-11.5,Construction confidence indicator,Cyprus
2020-06-01,-15.4,Construction confidence indicator,Cyprus
2020-09-01,-15.3,Construction confidence indicator,Cyprus
2010-06-01,-32.4,Construction confidence indicator,Czechia
2010-09-01,-41.9,Construction confidence indicator,Czechia
2010-12-01,-42.1,Construction confidence indicator,Czechia
2011-03-01,-41.8,Construction confidence indicator,Czechia
2011-06-01,-40.9,Construction confidence indicator,Czechia
2011-09-01,-39.0,Construction confidence indicator,Czechia
2011-12-01,-43.8,Construction confidence indicator,Czechia
2012-03-01,-45.0,Construction confidence indicator,Czechia
2012-06-01,-44.6,Construction confidence indicator,Czechia
2012-09-01,-46.0,Construction confidence indicator,Czechia
2012-12-01,-46.7,Construction confidence indicator,Czechia
2013-03-01,-41.5,Construction confidence indicator,Czechia
2013-06-01,-52.8,Construction confidence indicator,Czechia
2013-09-01,-48.2,Construction confidence indicator,Czechia
2013-12-01,-47.5,Construction confidence indicator,Czechia
2014-03-01,-41.3,Construction confidence indicator,Czechia
2014-06-01,-35.7,Construction confidence indicator,Czechia
2014-09-01,-28.0,Construction confidence indicator,Czechia
2014-12-01,-24.4,Construction confidence indicator,Czechia
2015-03-01,-21.7,Construction confidence indicator,Czechia
2015-06-01,-17.8,Construction confidence indicator,Czechia
2015-09-01,-15.7,Construction confidence indicator,Czechia
2015-12-01,-20.2,Construction confidence indicator,Czechia
2016-03-01,-22.5,Construction confidence indicator,Czechia
2016-06-01,-24.7,Construction confidence indicator,Czechia
2016-09-01,-27.7,Construction confidence indicator,Czechia
2016-12-01,-27.4,Construction confidence indicator,Czechia
2017-03-01,-22.3,Construction confidence indicator,Czechia
2017-06-01,-19.2,Construction confidence indicator,Czechia
2017-09-01,-16.0,Construction confidence indicator,Czechia
2017-12-01,-13.5,Construction confidence indicator,Czechia
2018-03-01,-6.7,Construction confidence indicator,Czechia
2018-06-01,-5.7,Construction confidence indicator,Czechia
2018-09-01,-2.1,Construction confidence indicator,Czechia
2018-12-01,0.0,Construction confidence indicator,Czechia
2019-03-01,3.3,Construction confidence indicator,Czechia
2019-06-01,4.2,Construction confidence indicator,Czechia
2019-09-01,-2.1,Construction confidence indicator,Czechia
2019-12-01,-0.7,Construction confidence indicator,Czechia
2020-03-01,-4.7,Construction confidence indicator,Czechia
2020-06-01,-13.2,Construction confidence indicator,Czechia
2020-09-01,-8.4,Construction confidence indicator,Czechia
2010-06-01,-21.2,Construction confidence indicator,Germany
2010-09-01,-16.8,Construction confidence indicator,Germany
2010-12-01,-15.6,Construction confidence indicator,Germany
2011-03-01,-11.4,Construction confidence indicator,Germany
2011-06-01,-6.7,Construction confidence indicator,Germany
2011-09-01,-7.3,Construction confidence indicator,Germany
2011-12-01,-10.9,Construction confidence indicator,Germany
2012-03-01,-9.5,Construction confidence indicator,Germany
2012-06-01,-9.6,Construction confidence indicator,Germany
2012-09-01,-8.8,Construction confidence indicator,Germany
2012-12-01,-12.0,Construction confidence indicator,Germany
2013-03-01,-6.0,Construction confidence indicator,Germany
2013-06-01,-5.2,Construction confidence indicator,Germany
2013-09-01,-3.0,Construction confidence indicator,Germany
2013-12-01,-6.2,Construction confidence indicator,Germany
2014-03-01,-7.8,Construction confidence indicator,Germany
2014-06-01,-8.5,Construction confidence indicator,Germany
2014-09-01,-10.1,Construction confidence indicator,Germany
2014-12-01,-11.4,Construction confidence indicator,Germany
2015-03-01,-12.0,Construction confidence indicator,Germany
2015-06-01,-11.4,Construction confidence indicator,Germany
2015-09-01,-8.7,Construction confidence indicator,Germany
2015-12-01,-5.4,Construction confidence indicator,Germany
2016-03-01,-2.9,Construction confidence indicator,Germany
2016-06-01,1.1,Construction confidence indicator,Germany
2016-09-01,3.9,Construction confidence indicator,Germany
2016-12-01,5.5,Construction confidence indicator,Germany
2017-03-01,8.9,Construction confidence indicator,Germany
2017-06-01,13.0,Construction confidence indicator,Germany
2017-09-01,11.6,Construction confidence indicator,Germany
2017-12-01,12.3,Construction confidence indicator,Germany
2018-03-01,15.8,Construction confidence indicator,Germany
2018-06-01,16.4,Construction confidence indicator,Germany
2018-09-01,18.7,Construction confidence indicator,Germany
2018-12-01,18.9,Construction confidence indicator,Germany
2019-03-01,18.6,Construction confidence indicator,Germany
2019-06-01,16.9,Construction confidence indicator,Germany
2019-09-01,13.0,Construction confidence indicator,Germany
2019-12-01,13.5,Construction confidence indicator,Germany
2020-03-01,9.1,Construction confidence indicator,Germany
2020-06-01,0.5,Construction confidence indicator,Germany
2020-09-01,2.6,Construction confidence indicator,Germany
2010-06-01,-42.1,Construction confidence indicator,Denmark
2010-09-01,-37.7,Construction confidence indicator,Denmark
2010-12-01,-36.0,Construction confidence indicator,Denmark
2011-03-01,-25.1,Construction confidence indicator,Denmark
2011-06-01,-27.7,Construction confidence indicator,Denmark
2011-09-01,-25.1,Construction confidence indicator,Denmark
2011-12-01,-29.2,Construction confidence indicator,Denmark
2012-03-01,-23.2,Construction confidence indicator,Denmark
2012-06-01,-28.0,Construction confidence indicator,Denmark
2012-09-01,-25.5,Construction confidence indicator,Denmark
2012-12-01,-25.0,Construction confidence indicator,Denmark
2013-03-01,-28.2,Construction confidence indicator,Denmark
2013-06-01,-22.2,Construction confidence indicator,Denmark
2013-09-01,-22.5,Construction confidence indicator,Denmark
2013-12-01,-15.6,Construction confidence indicator,Denmark
2014-03-01,-12.8,Construction confidence indicator,Denmark
2014-06-01,-15.9,Construction confidence indicator,Denmark
2014-09-01,-12.6,Construction confidence indicator,Denmark
2014-12-01,-15.0,Construction confidence indicator,Denmark
2015-03-01,-17.6,Construction confidence indicator,Denmark
2015-06-01,-12.2,Construction confidence indicator,Denmark
2015-09-01,-10.2,Construction confidence indicator,Denmark
2015-12-01,-7.3,Construction confidence indicator,Denmark
2016-03-01,-4.6,Construction confidence indicator,Denmark
2016-06-01,-8.5,Construction confidence indicator,Denmark
2016-09-01,-6.0,Construction confidence indicator,Denmark
2016-12-01,-5.6,Construction confidence indicator,Denmark
2017-03-01,-4.0,Construction confidence indicator,Denmark
2017-06-01,-1.3,Construction confidence indicator,Denmark
2017-09-01,-4.1,Construction confidence indicator,Denmark
2017-12-01,-2.4,Construction confidence indicator,Denmark
2018-03-01,-1.3,Construction confidence indicator,Denmark
2018-06-01,-1.7,Construction confidence indicator,Denmark
2018-09-01,-0.8,Construction confidence indicator,Denmark
2018-12-01,-2.8,Construction confidence indicator,Denmark
2019-03-01,-2.0,Construction confidence indicator,Denmark
2019-06-01,-4.4,Construction confidence indicator,Denmark
2019-09-01,-4.6,Construction confidence indicator,Denmark
2019-12-01,-5.0,Construction confidence indicator,Denmark
2020-03-01,-5.9,Construction confidence indicator,Denmark
2020-06-01,-15.0,Construction confidence indicator,Denmark
2020-09-01,-8.5,Construction confidence indicator,Denmark
2010-06-01,-17.6,Construction confidence indicator,Estonia
2010-09-01,-21.6,Construction confidence indicator,Estonia
2010-12-01,-18.8,Construction confidence indicator,Estonia
2011-03-01,-7.3,Construction confidence indicator,Estonia
2011-06-01,11.4,Construction confidence indicator,Estonia
2011-09-01,8.7,Construction confidence indicator,Estonia
2011-12-01,1.5,Construction confidence indicator,Estonia
2012-03-01,7.2,Construction confidence indicator,Estonia
2012-06-01,6.7,Construction confidence indicator,Estonia
2012-09-01,-0.3,Construction confidence indicator,Estonia
2012-12-01,2.5,Construction confidence indicator,Estonia
2013-03-01,-3.0,Construction confidence indicator,Estonia
2013-06-01,-10.1,Construction confidence indicator,Estonia
2013-09-01,-11.6,Construction confidence indicator,Estonia
2013-12-01,-21.2,Construction confidence indicator,Estonia
2014-03-01,-20.8,Construction confidence indicator,Estonia
2014-06-01,-21.8,Construction confidence indicator,Estonia
2014-09-01,-20.7,Construction confidence indicator,Estonia
2014-12-01,-20.2,Construction confidence indicator,Estonia
2015-03-01,-22.2,Construction confidence indicator,Estonia
2015-06-01,-21.1,Construction confidence indicator,Estonia
2015-09-01,-17.5,Construction confidence indicator,Estonia
2015-12-01,-7.3,Construction confidence indicator,Estonia
2016-03-01,-8.3,Construction confidence indicator,Estonia
2016-06-01,-6.2,Construction confidence indicator,Estonia
2016-09-01,5.0,Construction confidence indicator,Estonia
2016-12-01,8.9,Construction confidence indicator,Estonia
2017-03-01,14.5,Construction confidence indicator,Estonia
2017-06-01,18.3,Construction confidence indicator,Estonia
2017-09-01,12.6,Construction confidence indicator,Estonia
2017-12-01,9.8,Construction confidence indicator,Estonia
2018-03-01,8.0,Construction confidence indicator,Estonia
2018-06-01,12.4,Construction confidence indicator,Estonia
2018-09-01,14.1,Construction confidence indicator,Estonia
2018-12-01,7.1,Construction confidence indicator,Estonia
2019-03-01,2.6,Construction confidence indicator,Estonia
2019-06-01,-0.4,Construction confidence indicator,Estonia
2019-09-01,-9.1,Construction confidence indicator,Estonia
2019-12-01,-10.2,Construction confidence indicator,Estonia
2020-03-01,-8.9,Construction confidence indicator,Estonia
2020-06-01,-40.2,Construction confidence indicator,Estonia
2020-09-01,-23.6,Construction confidence indicator,Estonia
2010-06-01,-53.4,Construction confidence indicator,Greece
2010-09-01,-65.8,Construction confidence indicator,Greece
2010-12-01,-66.2,Construction confidence indicator,Greece
2011-03-01,-74.5,Construction confidence indicator,Greece
2011-06-01,-73.5,Construction confidence indicator,Greece
2011-09-01,-57.1,Construction confidence indicator,Greece
2011-12-01,-58.3,Construction confidence indicator,Greece
2012-03-01,-68.3,Construction confidence indicator,Greece
2012-06-01,-63.9,Construction confidence indicator,Greece
2012-09-01,-56.8,Construction confidence indicator,Greece
2012-12-01,-62.8,Construction confidence indicator,Greece
2013-03-01,-55.2,Construction confidence indicator,Greece
2013-06-01,-35.8,Construction confidence indicator,Greece
2013-09-01,-13.2,Construction confidence indicator,Greece
2013-12-01,-42.5,Construction confidence indicator,Greece
2014-03-01,-21.2,Construction confidence indicator,Greece
2014-06-01,-21.9,Construction confidence indicator,Greece
2014-09-01,-29.4,Construction confidence indicator,Greece
2014-12-01,-20.0,Construction confidence indicator,Greece
2015-03-01,-47.8,Construction confidence indicator,Greece
2015-06-01,-49.0,Construction confidence indicator,Greece
