ar_coefficients,repetition,horizon,method,error
0.5,33,0,flattened_forecast_error,94.47988646801899
0.5,33,1,flattened_forecast_error,79.36298834932816
0.5,34,0,flattened_forecast_error,21.676326480164843
0.5,34,1,flattened_forecast_error,63.66115088257956
0.5,35,0,flattened_forecast_error,32.156449793319496
0.5,35,1,flattened_forecast_error,66.80219406642404
0.5,36,0,flattened_forecast_error,74.38783597934484
0.5,36,1,flattened_forecast_error,63.753307635048074
0.5,37,0,flattened_forecast_error,24.907332992750252
0.5,37,1,flattened_forecast_error,6.759431583467759
0.5,38,0,flattened_forecast_error,28.54583950810577
0.5,38,1,flattened_forecast_error,45.91553988121469
0.5,39,0,flattened_forecast_error,9.961321690356906
0.5,39,1,flattened_forecast_error,32.81184630590843
0.5,40,0,flattened_forecast_error,16.02641586398593
0.5,40,1,flattened_forecast_error,35.34405301794915
0.5,41,0,flattened_forecast_error,27.239209863196592
0.5,41,1,flattened_forecast_error,51.14554302855192
0.5,42,0,flattened_forecast_error,14.672430197354329
0.5,42,1,flattened_forecast_error,18.867750925146826
0.5,43,0,flattened_forecast_error,26.028076041932913
0.5,43,1,flattened_forecast_error,50.88510350256201
0.5,44,0,flattened_forecast_error,100.77425283763407
0.5,44,1,flattened_forecast_error,59.21435596412972
0.5,45,0,flattened_forecast_error,49.21650474083417
0.5,45,1,flattened_forecast_error,26.990105854189885
0.5,46,0,flattened_forecast_error,51.8233920171438
0.5,46,1,flattened_forecast_error,13.116299877894809
0.5,47,0,flattened_forecast_error,6.832064318513603
0.5,47,1,flattened_forecast_error,50.83726114098198
0.5,48,0,flattened_forecast_error,44.7910414176802
0.5,48,1,flattened_forecast_error,37.495320609843766
0.5,49,0,flattened_forecast_error,36.47684251515651
0.5,49,1,flattened_forecast_error,20.83205611280601
0.7,0,0,flattened_forecast_error,43.69644995748402
0.7,0,1,flattened_forecast_error,34.40364745783295
0.7,1,0,flattened_forecast_error,26.943070234517137
0.7,1,1,flattened_forecast_error,3.234374199123684
0.7,2,0,flattened_forecast_error,42.22264868465998
0.7,2,1,flattened_forecast_error,39.14568843045396
0.7,3,0,flattened_forecast_error,53.201256277556865
0.7,3,1,flattened_forecast_error,32.68579763918385
0.7,4,0,flattened_forecast_error,59.77956937037707
0.7,4,1,flattened_forecast_error,49.04651484460458
0.7,5,0,flattened_forecast_error,43.83740939135866
0.7,5,1,flattened_forecast_error,21.787362909195434
0.7,6,0,flattened_forecast_error,11.68289252101885
